R,EXC,S,SEXO,CD1.1A,CD1.1B,CD1.1C,CD1.2A,CD1.2B,CD1.2C,CD1.3A,CD1.3B,CD1.3C,CD1.4A,CD1.4B,CD1.4C,CD1.5A,CD1.5B,CD1.5C,CD1.6A,CD1.6B,CD1.6C,CD1.7A,CD1.7B,CD1.7C,CD1.8A,CD1.8B,CD1.8C,CD1.9A,CD1.9B,CD1.9C,CD1.10A,CD1.10B,CD1.10C,CD4.1A,CD4.1B,CD4.1C,CD4.2A,CD4.2B,CD4.2C,CD4.3A,CD4.3B,CD4.3C,CD4.4A,CD4.4B,CD4.4C,CD4.5A,CD4.5B,CD4.5C,CD4.6A,CD4.6B,CD4.6C,CD4.7A,CD4.7B,CD4.7C,CD4.8A,CD4.8B,CD4.8C,CD4.9A,CD4.9B,CD4.9C,CD4.10A,CD4.10B,CD4.10C,CD8.1A,CD8.1B,CD8.1C,CD8.2A,CD8.2B,CD8.2C,CD8.3A,CD8.3B,CD8.3C,CD8.4A,CD8.4B,CD8.4C,CD8.5A,CD8.5B,CD8.5C,CD8.6A,CD8.6B,CD8.6C,CD8.7A,CD8.7B,CD8.7C,CD8.8A,CD8.8B,CD8.8C,CD8.9A,CD8.9B,CD8.9C,CD8.10A,CD8.10B,CD8.10C,CD12.1A,CD12.1B,CD12.1C,CD12.2A,CD12.2B,CD12.2C,CD12.3A,CD12.3B,CD12.3C,CD12.4A,CD12.4B,CD12.4C,CD12.5A,CD12.5B,CD12.5C,CD12.6A,CD12.6B,CD12.6C,CD12.7A,CD12.7B,CD12.7C,CD12.8A,CD12.8B,CD12.8C,CD12.9A,CD12.9B,CD12.9C,CD12.10A,CD12.10B,CD12.10C,CD18.1A,CD18.1B,CD18.1C,CD18.2A,CD18.2B,CD18.2C,CD18.3A,CD18.3B,CD18.3C,CD18.4A,CD18.4B,CD18.4C,CD18.5A,CD18.5B,CD18.5C,CD18.6A,CD18.6B,CD18.6C,CD18.7A,CD18.7B,CD18.7C,CD18.8A,CD18.8B,CD18.8C,CD18.9A,CD18.9B,CD18.9C,CD18.10A,CD18.10B,CD18.10C,CD24.1A,CD24.1B,CD24.1C,CD24.2A,CD24.2B,CD24.2C,CD24.3A,CD24.3B,CD24.3C,CD24.4A,CD24.4B,CD24.4C,CD24.5A,CD24.5B,CD24.5C,CD24.6A,CD24.6B,CD24.6C,CD24.7A,CD24.7B,CD24.7C,CD24.8A,CD24.8B,CD24.8C,CD24.9A,CD24.9B,CD24.9C,CD24.10A,CD24.10B,CD24.10C,RD1.1A,RD1.1B,RD1.1C,RD1.2A,RD1.2B,RD1.2C,RD4.3A,RD4.3B,RD4.3C,RD8.4A,RD8.4B,RD8.4C,RD8.5A,RD8.5B,RD8.5C,RD12.6A,RD12.6B,RD12.6C,RD12.7A,RD12.7B,RD12.7C,RD18.8A,RD18.8B,RD18.8C,RD18.9A,RD18.9B,RD18.9C,RD24.10A,RD24.10B,RD24.10C
1,10,GSAI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,,,,422,,422,,,422,,,422,,,422,,,422,,,,422,,422,,,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,,,422,,,,,
1,16,RDBE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,,,,466,,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,,,464,,,,,
1,46,MCF,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,,,543,,,543,,,543,,,543,,,543,,,543,,,543,,,543,,,543,,509,685,,,509,,509,,,509,565,,,509,,509,565,,509,543,,,509,,509,565,,509,,,543,,,543,,543,,,,543,,543,685,,,543,,543,565,,543,685,,543,,,685,710,,,,,,,,,,,,,,,,,,,,,,,,479,509,509,479,685,479,685,710
1,58,SNA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,694,,,509,,509,,,,509,,509,694,,509,694,,509,544,,509,544,,,509,,509,570,509,,,,509,,509,,,570,694,,544,694,,509,694,,544,694,,570,694,,509,694,,544,570,,,,,,,,,,,,,,,,,,,,,,,509,546,694,509,676,804,509,694,
1,39,VNJ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,,,624,,,,,,624,,,624,,,624,,,624,,,624,,,624,,,624,624,,,,624,,624,667,,624,,,624,,,,624,,624,667,,624,,,624,667,,624,,,,,,,,,,,,,,,,,,,,624,,,624,,,624,,624,,624,667,
1,23,CHLJR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688,722,,608,695,,651,725,,,651,725,651,695,722,,651,695,,651,,651,725,,,722,,,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,725
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
